Deterministic_CK	Deterministic_TR	Stochastic_CK	Stochastic_TR	HeS_CK	HeS_TR	HoS_CK	HoS_TR	DL_CK	DL_TR	DR_CK	DR_TR	HD_CK	HD_TR
0.300525	0.336208333	0.699475	0.663791667	0.275166667	0.286016667	0.025358333	0.050191667	0.189091667	0.068933333	0.477083333	0.545691667	0.0333	0.049166667
0.2904	0.335983333	0.7096	0.664016667	0.240183333	0.278266667	0.050216667	0.057716667	0.098825	0.104383333	0.566941667	0.515516667	0.043833333	0.044116667
0.297866667	0.2773	0.702133333	0.7227	0.266083333	0.215891667	0.031783333	0.061408333	0.157641667	0.173541667	0.476975	0.457841667	0.067516667	0.091316667
0.298608333	0.261208333	0.701391667	0.738791667	0.274308333	0.242575	0.0243	0.018633333	0.1292	0.08005	0.523166667	0.599983333	0.049025	0.058758333
0.275775	0.272908333	0.724225	0.727091667	0.265691667	0.236016667	0.010083333	0.036891667	0.140608333	0.115416667	0.527333333	0.512358333	0.056283333	0.099316667
0.313158333	0.298683333	0.686841667	0.701316667	0.208591667	0.225608333	0.104566667	0.073075	0.184658333	0.184791667	0.332616667	0.426766667	0.169566667	0.089758333
0.280825	0.27295	0.719175	0.72705	0.1761	0.1678	0.104725	0.10515	0.195008333	0.170616667	0.363841667	3.68E-01	0.160325	0.188566667
0.264816667	0.271983333	0.735183333	0.728016667	0.170391667	0.172416667	0.094425	0.099566667	0.129008333	0.118216667	0.405366667	4.38E-01	0.200808333	0.171641667
0.287191667	0.293125	0.712808333	0.706875	0.265658333	0.238333333	0.021533333	0.054791667	0.170191667	0.137775	0.511141667	0.517516667	0.031475	0.051583333
0.2823	0.274033333	0.7177	0.725966667	0.258991667	0.238125	0.023308333	0.035908333	0.122266667	0.091933333	0.572425	0.597891667	0.023008333	0.036141667
0.2972	0.30905	0.7028	0.69095	0.263125	0.270783333	0.034075	0.038266667	0.121875	0.060691667	0.527391667	5.74E-01	0.053533333	0.055858333
0.331231038	0.356104539	0.668768962	0.643895461	0.014782433	0.01282365	0.316448606	0.34328089	0.338662256	0.321526869	0.297541456	0.273590721	0.032565249	0.048777871
0.2782765	0.248534355	0.7217235	0.751465645	0.007827728	0.011172282	0.270448772	0.237362072	0.258227355	0.269237683	0.420941	0.447368592	0.042555145	0.034859371
0.72575	0.70875	0.27425	0.29125	0.24975	0.1627	0.476	0.54605	0.23285	0.24415	0.0414	0.0471	0	0
0.5731	0.598080357	0.4269	0.401919643	0.092495238	0.100526786	0.480604762	0.497553571	0.359357143	0.33845	0.067542857	0.063469643	0	0
0.5731	0.589523214	0.4269	0.410476786	0.092495238	0.061621429	0.480604762	0.527901786	0.359357143	0.35395	0.067542857	0.056526786	0	0
0.598805357	0.613583929	0.401194643	0.386416071	0.092653571	0.144405357	0.506151786	0.469178571	0.337421429	0.33015	0.063773214	0.056266071	0	0
0.598805357	0.619842857	0.401194643	0.380157143	0.092653571	0.134	0.506151786	0.485842857	0.337421429	0.312092857	0.063773214	0.068064286	0	0
0.64005	0.687275	0.35995	0.312725	0.125239286	0.104496429	0.514810714	0.582778571	0.297003571	0.239782143	0.062946429	0.072942857	0	0
0.64005	0.5599625	0.35995	0.4400375	0.125239286	0.097833929	0.514810714	0.462128571	0.297003571	0.368810714	0.062946429	0.071226786	0	0
