Deterministic_CK	Deterministic_TR	Stochastic_CK	Stochastic_TR	HeS_CK	HeS_TR	HoS_CK	HoS_TR	DL_CK	DL_TR	DR_CK	DR_TR	HD_CK	HD_TR
0.042514387	0.106339088	0.957485613	0.893660912	0	0.000664011	0.042514387	0.105675077	0.762532094	0.516684374	0.149672421	0.355263391	0.045281098	0.021713147
0.070753292	0.043622871	0.929246708	0.956377129	0.002227807	0.006976864	0.068525485	0.036646007	0.817480189	0.678732283	0.075582005	0.27043775	0.036184515	0.007207096
0.117400942	0.109616542	0.882599058	0.890383458	0.018694369	0.017571526	0.098706574	0.092045016	0.339657981	0.296934605	0.525035195	0.583654064	0.017905881	0.009794789
0.144374432	0.109714748	0.855625568	0.890285252	0.025595198	0.022235184	0.118779235	0.087479564	0.161847468	0.183237965	0.690939771	0.705701919	0.002838329	0.001345368
0.449047397	0.174959767	0.550952603	0.825040233	0	0.03052484	0.449047397	0.144434927	0	0.184706432	0.408399522	0.640333801	0.142553081	0
0.080258929	0.19917619	0.919741071	0.80082381	0.005451786	0.005883333	0.074807143	0.193292857	0.9192625	0.800580952	0.000478571	0.000242857	0	0
0.080258929	0.355402381	0.919741071	0.644597619	0.005451786	0.001397619	0.074807143	0.354004762	0.9192625	0.64397381	0.000478571	0.00062381	0	0
0.056248214	0.087803571	0.943751786	0.912196429	0.0003625	0.000244643	0.055885714	0.087558929	0.943732143	0.912076786	1.96E-05	0.000119643	0	0
0.056248214	0.235278571	0.943751786	0.764721429	0.0003625	0.001064286	0.055885714	0.234214286	0.943732143	0.764566071	1.96E-05	0.000155357	0	0
0.031796429	0.166807143	0.968203571	0.833192857	0.003348214	0.000689286	0.028448214	0.166117857	0.967053571	0.830683929	0.00115	0.002508929	0	0
0.031796429	0.1652	0.968203571	0.8348	0.003348214	0.005330357	0.028448214	0.159869643	0.967053571	0.833083929	0.00115	0.001716071	0	0
0.143998214	0.213196429	0.856001786	0.786803571	0.013282143	0.002996429	0.130716071	0.2102	0.854776786	0.785357143	0.001225	0.001446429	0	0
0.143998214	0.318853571	0.856001786	0.681146429	0.013282143	0.001392857	0.130716071	0.317460714	0.854776786	0.679916071	0.001225	0.001230357	0	0
0.405691071	0.545805357	0.594308929	0.454194643	0.000566071	0.0007125	0.405125	0.545092857	0.594264286	0.454171429	4.46E-05	2.32E-05	0	0
0.405691071	0.533180357	0.594308929	0.466819643	0.000566071	0.001266071	0.405125	0.531914286	0.594264286	0.466753571	4.46E-05	6.61E-05	0	0
0.2683375	0.253333929	0.7316625	0.746666071	0.003082143	0.002316071	0.265255357	0.251017857	0.731494643	0.746475	0.000167857	0.000191071	0	0
0.2683375	0.403983929	0.7316625	0.596016071	0.003082143	0.000846429	0.265255357	0.4031375	0.731494643	0.595576786	0.000167857	0.000439286	0	0
0.283921429	0.296653571	0.716078571	0.703346429	0.013778571	0.004042857	0.270142857	0.292610714	0.715514286	0.703073214	0.000564286	0.000273214	0	0
0.283921429	0.307217857	0.716078571	0.692782143	0.013778571	0.006923214	0.270142857	0.300294643	0.715514286	0.692142857	0.000564286	0.000639286	0	0
0.320289286	0.115373214	0.679710714	0.884626786	0.007116071	0.003369643	0.313173214	0.112003571	0.679016071	0.883780357	0.000694643	0.000846429	0	0
0.320289286	0.290991071	0.679710714	0.709008929	0.007116071	0.010928571	0.313173214	0.2800625	0.679016071	0.708716071	0.000694643	0.000292857	0	0
0.578398214	0.415603571	0.421601786	0.584396429	0.009776786	0.002353571	0.568621429	0.41325	0.421071429	0.583885714	0.000530357	0.000510714	0	0
0.578398214	0.342917857	0.421601786	0.657082143	0.009776786	0.003142857	0.568621429	0.339775	0.421071429	0.65705	0.000530357	3.21E-05	0	0
0.045875	0.445414286	0.954125	0.554585714	0.001221429	0.001276786	0.044653571	0.4441375	0.9539875	0.554491071	0.0001375	9.46E-05	0	0
0.045875	0.218880357	0.954125	0.781119643	0.001221429	0.001394643	0.044653571	0.217485714	0.9539875	0.780896429	0.0001375	0.000223214	0	0
0.329555357	0.365728571	0.670444643	0.634271429	0.006501786	0.006525	0.323053571	0.359203571	0.670039286	0.634078571	0.000405357	0.000192857	0	0
0.329555357	0.267314286	0.670444643	0.732685714	0.006501786	0.008732143	0.323053571	0.258582143	0.670039286	0.732592857	0.000405357	9.29E-05	0	0
0.215423214	0.167889286	0.784576786	0.832110714	0.003233929	0.003951786	0.212189286	0.1639375	0.784139286	0.831498214	0.0004375	0.0006125	0	0
0.215423214	0.125985714	0.784576786	0.874014286	0.003233929	0.005253571	0.212189286	0.120732143	0.784139286	0.873769643	0.0004375	0.000244643	0	0
0.297	0.4693	0.703	0.5307	0.053366667	0.02935	0.243633333	0.43995	0.4283	0.2224	0.25635	0.2941	0.01835	0.0142
0.297	0.35855	0.703	0.64145	0.053366667	0.17925	0.243633333	0.1793	0.4283	0.3958	0.25635	0.202	0.01835	0.04365
0.327583333	0.6733	0.672416667	0.3267	0.067866667	0.03885	0.259716667	0.63445	0.475	0.12195	0.154083333	0.1817	0.043333333	0.02305
0.327583333	0.53605	0.672416667	0.46395	0.067866667	0.13865	0.259716667	0.3974	0.475	0.312566667	0.154083333	0.117133333	0.043333333	0.03425
0.522083333	0.1864	0.477916667	0.8136	0.089066667	0.097	0.433016667	0.0894	0.278416667	0.63395	0.15685	0.1243	0.04265	0.05535
0.522083333	0.688466667	0.477916667	0.311533333	0.089066667	0.255933333	0.433016667	0.432533333	0.278416667	0.0939	0.15685	0.172216667	0.04265	0.045416667
0.353566667	0.37935	0.646433333	0.62065	0.090883333	0.0321	0.262683333	0.34725	0.371333333	0.4851	0.2582	0.0786	0.0169	0.05695
0.353566667	0.459416667	0.646433333	0.540583333	0.090883333	0.069433333	0.262683333	0.389983333	0.371333333	0.341	0.2582	0.168583333	0.0169	0.031
0.347466667	0.454833333	0.652533333	0.545166667	0.095816667	0.022533333	0.25165	0.4323	0.3909	0.400933333	0.222383333	0.108966667	0.03925	0.035266667
0.347466667	0.696716667	0.652533333	0.303283333	0.095816667	0.007366667	0.25165	0.68935	0.3909	0.2091	0.222383333	0.054	0.03925	0.040183333
0.395016667	0.272683333	0.604983333	0.727316667	0.131475	0.071683333	0.263541667	0.201	0.384116667	0.360208333	0.193091667	0.318033333	0.027775	0.049075
0.268808333	0.445183333	0.731191667	0.554816667	0.0277	0.040608333	0.241108333	0.404575	0.470158333	0.313825	0.230683333	0.218008333	0.03035	0.022983333
0.349325	0.586591667	0.650675	0.413408333	0.126658333	0.046325	0.222666667	0.540266667	0.383016667	0.264141667	0.2432	0.095216667	0.024458333	0.05405
0.4538	0.621733333	0.5462	0.378266667	0.157125	0.055791667	0.296675	0.565941667	0.326083333	0.225025	0.200158333	0.11005	0.019958333	0.043191667
0.31545	0.499775	0.68455	0.500225	0.16215	0.091166667	0.1533	0.408608333	0.451791667	0.263883333	0.210408333	0.186825	0.02235	0.049516667
0.348122885	0.134043447	0.651877115	0.865956553	0.00325424	0.004725114	0.344868645	0.129318334	0.131042434	0.282035948	0.511190492	0.580919592	0.009644189	0.003001013
0.348122885	0.170448913	0.651877115	0.829551087	0.00325424	0.005199241	0.344868645	0.165249671	0.131042434	0.288339691	0.511190492	0.540597185	0.009644189	0.000614211
0.348122885	0.189683412	0.651877115	0.810316588	0.00325424	0.034697528	0.344868645	0.154985884	0.131042434	0.313576216	0.511190492	0.482274089	0.009644189	0.014466283
0.348122885	0.125175104	0.651877115	0.874824896	0.00325424	0.008404991	0.344868645	0.116770113	0.131042434	0.311647378	0.511190492	0.562730329	0.009644189	0.000447189
0.138553048	0.148428913	0.861446952	0.851571087	0.002979462	0.000878214	0.135573587	0.147550699	0.236433482	0.284584384	0.623251654	0.565752893	0.001761815	0.00123381
0.138553048	0.140632745	0.861446952	0.859367255	0.002979462	0.005064546	0.135573587	0.135568199	0.236433482	0.196886921	0.623251654	0.662480334	0.001761815	0
0.138553048	0.122330338	0.861446952	0.877669662	0.002979462	0.016017974	0.135573587	0.106312364	0.236433482	0.248081938	0.623251654	0.629587724	0.001761815	0
0.138553048	0.137039072	0.861446952	0.862960928	0.002979462	0.012887653	0.135573587	0.124151419	0.236433482	0.286152238	0.623251654	0.576808689	0.001761815	0
0.12134239	0.181956266	0.87865761	0.818043734	0	0	0.12134239	0.181956266	0.350557418	0.242254894	0.528100192	0.57578884	0	0
0.12134239	0.210815923	0.87865761	0.789184077	0	0	0.12134239	0.210815923	0.350557418	0.14978649	0.528100192	0.639397587	0	0
0.000543546	0.033435831	0.999456454	0.966564169	0.000543546	0.032115791	0	0.00132004	0.194775749	0.196266617	0.791853025	0.755777115	0.01282768	0.014520437
0.133448254	0.160594484	0.866551746	0.839405516	0.035641073	0.15074854	0.097807181	0.009845944	0.254658964	0.345928066	0.599546528	0.465306249	0.012346254	0.028171201
0.130399433	0.033408087	0.869600567	0.966591913	0.033223129	0.017043134	0.097176304	0.016364953	0.605526399	0.590957082	0.235259211	0.358560871	0.028814957	0.01707396
0.130399433	0.089997611	0.869600567	0.910002389	0.033223129	0.007209519	0.097176304	0.082788092	0.605526399	0.561463945	0.235259211	0.332736072	0.028814957	0.015802372
0.130399433	0.105611171	0.869600567	0.894388829	0.033223129	0.017416904	0.097176304	0.088194268	0.605526399	0.536725776	0.235259211	0.337568107	0.028814957	0.020094945
0.351659615	0.03699936	0.648340385	0.96300064	0.025320016	0.00431184	0.326339599	0.032687521	0.427758383	0.555595373	0.199851263	0.384069698	0.020730739	0.023335568
0.351659615	0.07369431	0.648340385	0.92630569	0.025320016	0.00895121	0.326339599	0.064743101	0.427758383	0.576491804	0.199851263	0.324998651	0.020730739	0.024815234
0.351659615	0.318301621	0.648340385	0.681698379	0.025320016	0.007039974	0.326339599	0.311261647	0.427758383	0.423292411	0.199851263	0.222728289	0.020730739	0.035677679
0.037777726	0.018711612	0.962222274	0.981288388	0.030429489	0.002801347	0.007348238	0.015910264	0.707615657	0.617710525	0.236392081	0.338874375	0.018214536	0.024703489
0.037777726	0.051938594	0.962222274	0.948061406	0.030429489	0.007332825	0.007348238	0.044605769	0.707615657	0.414225603	0.236392081	0.472190754	0.018214536	0.06164505
0.037777726	0.070365061	0.962222274	0.929634939	0.030429489	0.011976048	0.007348238	0.058389013	0.707615657	0.495907798	0.236392081	0.387838223	0.018214536	0.045888917
0.058377454	0.06236947	0.941622546	0.93763053	0.01175641	0.008955063	0.046621044	0.053414407	0.700560269	0.579524349	0.225194399	0.34190692	0.015867878	0.016199262
0.058377454	0.080352808	0.941622546	0.919647192	0.01175641	0.034375265	0.046621044	0.045977543	0.700560269	0.52668023	0.225194399	0.371546482	0.015867878	0.02142048
0.058377454	0.095654251	0.941622546	0.904345749	0.01175641	0.002820614	0.046621044	0.092833638	0.700560269	0.632387734	0.225194399	0.257354018	0.015867878	0.014603997
0.182434563	0.40708767	0.817565437	0.59291233	0	0	0.182434563	0.40708767	0.099574267	0.206880434	0.629110916	0.344911475	0.088880254	0.041120422
0.182434563	0.474292697	0.817565437	0.525707303	0	0.004302383	0.182434563	0.469990314	0.099574267	0.264483939	0.629110916	0.239655134	0.088880254	0.02156823
