StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,Group_CK,Xc,Sc,Group_TR,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Harvest,D5-10,R2,D11-20,Non_Rhizosphere,Fine,No_tillage,Retention,Fertilizer,ITS1,Fungi_edges,Fungi_112HCK,118,11.8,Fungi_112HTR,53,5.3,3,3,-0.800392711,0.003333333,0.003333333,0.006666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,Tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_112ICK,137,13.7,Fungi_112ITR,141.5,26.1629509,3,3,0.032318791,0.003333333,0.011395656,0.014728989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,No_tillage,Retention,Fertilizer,ITS1,Fungi_edges,Fungi_112JCK,92,36.76955262,Fungi_112JTR,94.5,34.64823228,3,3,0.026811257,0.053245117,0.044810242,0.098055359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Maturity stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,No_tillage,Retention,Fertilizer,ITS1,Fungi_edges,Fungi_112LCK,108.5,33.23401872,Fungi_112LTR,97,7.071067812,3,3,-0.112039194,0.031274112,0.001771354,0.033045466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1.5,2,3,LongitudeDa0,MAPXy600,MAT8Dao15,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_113ACEFCK,389,97.50384608,Fungi_113ATR,390.3333333,76.3042157,3,3,0.003421731,0.020942235,0.012738096,0.033680332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,13.4,0.215708573,129.66,166.01,0.247132388,100.63,101.38,0.007425409,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1,3,3,LongitudeDa0,MAPXy600,MAT8Dao15,Non-legume to Legume,nonAM to AM,C3 to C4,Annual to Annual,Harvest,D1,R3,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_113ACEFCK,389,97.50384608,Fungi_113CTR,445.3333333,49.21720566,3,3,0.135243722,0.020942235,0.004071386,0.025013621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,12.42,0.139761942,129.66,133.36,0.028136599,100.63,111.42,0.101856421,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1.5,2,3,LongitudeDa0,MAPXy600,MAT8Dao15,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_113ACEFCK,389,97.50384608,Fungi_113ETR,437,68.76772499,3,3,0.116353851,0.020942235,0.008254394,0.029196629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,13.49,0.222402536,129.66,183.6,0.347843838,100.63,112.58,0.112213656,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1,3,3,LongitudeDa0,MAPXy600,MAT8Dao15,Non-legume to Legume,nonAM to AM,C3 to C4,Annual to Annual,Harvest,D1,R3,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_113ACEFCK,389,97.50384608,Fungi_113FTR,477,28.68797658,3,3,0.203937147,0.020942235,0.001205707,0.022147942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,17.74,0.496275843,129.66,172.29,0.284263464,100.63,104.13,0.034189695,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1,3,3,LongitudeDa0,MAPXy600,MAT8Dao15,Legume to Non-legume,AM to nonAM,C3 to C4,Annual to Annual,Harvest,D1,R3,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_113BDGHCK,399.6666667,100.7587879,Fungi_113BTR,425.3333333,78.29005897,3,3,0.062242309,0.02118599,0.011293619,0.032479609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,10.96,-0.023445619,181.3,130.62,-0.327860773,120.75,98.88,-0.199815299,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1.5,2,3,LongitudeDa0,MAPXy600,MAT8Dao15,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_113BDGHCK,399.6666667,100.7587879,Fungi_113DTR,424,22.60530911,3,3,0.059102589,0.02118599,0.000947475,0.022133465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,14.91,0.284334229,181.3,213.22,0.162171379,120.75,130.08,0.074427353,NA,NA,NA
