StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,Group_CK,Xc,Sc,Group_TR,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,No_tillage,Retention,Fertilizer,ITS1,Fungi_nodes,Fungi_112JCK,37.5,6.363961031,Fungi_112JTR,35,4.242640687,3,3,-0.068992871,0.0096,0.004897959,0.014497959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Maturity stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,No_tillage,Retention,Fertilizer,ITS1,Fungi_nodes,Fungi_112LCK,40,1.414213562,Fungi_112LTR,40,4.242640687,3,3,0,0.000416667,0.00375,0.004166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1.5,2,3,LongitudeDa0,MAPXy600,MAT8Dao15,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_113ACEFCK,70.66666667,6.110100927,Fungi_113ATR,75,2.645751311,3,3,0.059514127,0.00249199,0.000414815,0.002906805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,13.4,0.215708573,129.66,166.01,0.247132388,100.63,101.38,0.007425409,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1,3,3,LongitudeDa0,MAPXy600,MAT8Dao15,Non-legume to Legume,nonAM to AM,C3 to C4,Annual to Annual,Harvest,D1,R3,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_113ACEFCK,70.66666667,6.110100927,Fungi_113CTR,75.33333333,7.371114796,3,3,0.063948725,0.00249199,0.003191323,0.005683313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,12.42,0.139761942,129.66,133.36,0.028136599,100.63,111.42,0.101856421,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1.5,2,3,LongitudeDa0,MAPXy600,MAT8Dao15,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_113ACEFCK,70.66666667,6.110100927,Fungi_113ETR,79.33333333,6.110100927,3,3,0.115684399,0.00249199,0.001977261,0.004469252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,13.49,0.222402536,129.66,183.6,0.347843838,100.63,112.58,0.112213656,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1,3,3,LongitudeDa0,MAPXy600,MAT8Dao15,Non-legume to Legume,nonAM to AM,C3 to C4,Annual to Annual,Harvest,D1,R3,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_113ACEFCK,70.66666667,6.110100927,Fungi_113FTR,78,5.567764363,3,3,0.098734841,0.00249199,0.001698444,0.004190434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,17.74,0.496275843,129.66,172.29,0.284263464,100.63,104.13,0.034189695,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1,3,3,LongitudeDa0,MAPXy600,MAT8Dao15,Legume to Non-legume,AM to nonAM,C3 to C4,Annual to Annual,Harvest,D1,R3,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_113BDGHCK,72.66666667,7.023769169,Fungi_113BTR,77.66666667,7.023769169,3,3,0.066543391,0.003114216,0.002726151,0.005840367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,10.96,-0.023445619,181.3,130.62,-0.327860773,120.75,98.88,-0.199815299,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1.5,2,3,LongitudeDa0,MAPXy600,MAT8Dao15,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_113BDGHCK,72.66666667,7.023769169,Fungi_113DTR,77,1,3,3,0.057922648,0.003114216,5.62E-05,0.003170437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,14.91,0.284334229,181.3,213.22,0.162171379,120.75,130.08,0.074427353,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1.5,2,3,LongitudeDa0,MAPXy600,MAT8Dao15,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_113BDGHCK,72.66666667,7.023769169,Fungi_113GTR,78.66666667,5.507570547,3,3,0.079336742,0.003114216,0.00163387,0.004748086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,15.06,0.294344322,181.3,181.67,0.002038737,120.75,106.75,-0.12323264,NA,NA,NA
113,"Wang et al., 2023 (b)",2023,38.06667,113.48333,434.0000153,9.041666985,1,3,3,LongitudeDa0,MAPXy600,MAT8Dao15,Legume to Non-legume,AM to nonAM,C3 to C4,Annual to Annual,Harvest,D1,R3,D1-5,Non_Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_113BDGHCK,72.66666667,7.023769169,Fungi_113HTR,81,2.645751311,3,3,0.108566381,0.003114216,0.000355637,0.003469853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,11.5,0.024649135,181.3,182.22,0.005061631,120.75,106.75,-0.12323264,NA,NA,NA
