OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_25799	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Unassigned	Unassigned
ASV_25814	Bacteria	Acidobacteria	Acidobacteria_Gp7	Unassigned	Unassigned	Gp7	Unassigned
ASV_25792	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Parapusillimonas	Unassigned
ASV_25820	Bacteria	Acidobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25791	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Unassigned
ASV_25793	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_25818	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_25804	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unassigned
ASV_25760	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Unassigned
ASV_25819	Bacteria	Acidobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25817	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_25810	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unassigned
ASV_25831	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25815	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Kofleria	Unassigned
ASV_25797	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Asanoa	Unassigned
ASV_25811	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Unassigned	Acidibacter	Unassigned
ASV_25825	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Fulvivirgaceae	Chryseolinea	Unassigned
ASV_25834	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25837	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25835	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25809	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Chelativorans	Unassigned
